key,price,total_area,living_area,kitchen_area,land,floor_number,total_floors,year,bedrooms_number,passenger_lifts_number,cargo_lifts_number,material_type,balconies_number,loggias_number,lng,lat,underground
https://www.cian.ru/sale/flat/263691210/,280000000,245.0,,,0,7,12,2015,,3,,brick,,,37.570474,55.72961,True
https://www.cian.ru/sale/flat/263232685/,23999000,74.0,42.0,6.0,0,2,5,1928,,1,0,brick,0,0,37.670842,55.726,True
https://www.cian.ru/sale/flat/242368226/,128800000,262.0,160.7,20.0,0,15,17,2008,,2,,monolith,,1,37.524624,55.714039,True
https://www.cian.ru/sale/flat/251332332/,115000000,208.0,130.0,16.0,0,6,17,2008,,2,1,monolith,,2,37.524624,55.714039,True
https://www.cian.ru/sale/flat/254376686/,110000000,260.0,,,0,36,36,,,3,1,monolith,1,0,37.503998,55.716037,True
https://www.cian.ru/sale/flat/263656571/,29999900,51.0,,,0,33,64,,,,,,,,37.533742,55.751138,True
https://www.cian.ru/sale/flat/263515862/,30000000,50.7,,,0,30,65,2020,,,,monolith,,,37.533742,55.751138,True
https://www.cian.ru/sale/flat/262952823/,10521100,59.3,31.9,15.3,0,13,25,2016,,2,1,panel,,1,37.931713,55.703185,True
https://www.cian.ru/sale/flat/255994632/,120999998,148.0,49.9,18.2,0,12,12,2021,,1,1,monolithBrick,1,,37.572459,55.725833,True
https://www.cian.ru/sale/flat/260996682/,19490000,53.7,19.2,16.2,0,10,39,2020,,1,1,monolith,,1,37.579385,55.695053,True
https://www.cian.ru/sale/flat/236795842/,9800000,43.3,,,0,2,5,2015,,,,monolithBrick,1,,37.415308,55.824845,True
https://www.cian.ru/sale/flat/261055411/,75000000,145.0,,,0,4,12,2019,,,,monolith,,1,37.569575,55.789431,True
https://www.cian.ru/sale/flat/263389161/,90640000,166.0,,10.0,0,4,8,,,1,,,1,1,37.506765,55.716002,True
https://www.cian.ru/sale/flat/239613966/,122000000,144.8,53.9,18.2,0,12,13,2021,,,2,monolith,,1,37.572459,55.725833,True
https://www.cian.ru/sale/flat/263215526/,115000000,200.0,,,0,4,6,2016,,1,,monolith,,,37.580894,55.781626,True
https://www.cian.ru/sale/flat/250060381/,22000000,46.0,,,0,7,19,,,,,monolithBrick,0,0,37.508885,55.763052,False
https://www.cian.ru/sale/flat/263386198/,154900000,203.9,,12.0,0,1,6,,,1,,,,1,37.505031,55.716483,True
https://www.cian.ru/sale/flat/258847571/,64900000,100.0,,,0,35,39,2017,,3,2,monolithBrick,,1,37.503998,55.716037,True
https://www.cian.ru/sale/flat/263651641/,89000000,103.0,,,0,3,8,2019,,1,1,monolith,,1,37.506765,55.716002,False
https://www.cian.ru/sale/flat/260852106/,120999999,148.0,55.0,19.0,0,12,12,,,,,,,2,37.572459,55.725833,True
https://odintsovo.cian.ru/sale/suburban/258319177/,2949000,600.0,,,1600.0,,3,,5,,,,,,37.146442,55.693957,False
https://krasnogorsk.cian.ru/sale/suburban/260452345/,1049990,535.0,,,1500.0,,2,,5,,,,,,37.11916,55.750003,False
https://odintsovo.cian.ru/sale/suburban/263742793/,2499990,658.0,,,2000.0,,3,,3,,,,,,37.145121,55.719237,False
https://www.cian.ru/sale/suburban/238189461/,25000000,610.0,,,1000.0,,2,,5,,,,,,37.309899,55.525695,False
https://odintsovo.cian.ru/sale/suburban/262526975/,134606000,280.0,,,1200.0,,,,,,,wood,,,37.280884,55.724165,False
https://odintsovo.cian.ru/sale/suburban/257018069/,2500000,1100.0,,,6500.0,,3,,,,,,,,37.173661,55.730928,False
https://odintsovo.cian.ru/sale/suburban/260221602/,10000000,1700.0,,,20000.0,,3,,,,,,,,37.023325,55.702968,False
https://odintsovo.cian.ru/sale/suburban/257273851/,73699200,600.0,,,1500.0,,,,,,,,,,37.105551,55.705128,False
https://odintsovo.cian.ru/sale/suburban/248882408/,4199990,560.0,,,1000.0,,3,,4,,,,,,37.300584,55.751796,False
https://istra.cian.ru/sale/suburban/260537964/,22900000,330.0,,,1200.0,,3,,4,,,,,,36.956709,55.837975,False
https://serpukhov.cian.ru/sale/suburban/262496816/,24600000,203.0,,,1420.0,,1,2021,3,,,wood,,,37.359936,55.013969,False
https://odintsovo.cian.ru/sale/suburban/238386390/,3455000,637.0,,,2411.0,,2,,4,,,,,,37.140998,55.686015,False
https://odintsovo.cian.ru/sale/suburban/238388312/,4500000,1150.0,,,3000.0,,2,,4,,,,,,37.061937,55.737291,False
https://odintsovo.cian.ru/sale/suburban/259786863/,144430000,1349.0,,,1782.0,,1,,3,,,,,,37.159369,55.698041,False
https://www.cian.ru/sale/suburban/261118671/,3200000,110.0,,,1000.0,,2,2021,3,,,wireframe,,,38.399395,56.29063,False
https://ivanteyevka.cian.ru/sale/suburban/259291879/,13401000,158.0,,,773.0,,2,,,,,,,,37.967592,56.01792,False
https://www.cian.ru/sale/suburban/262279177/,49000000,800.0,,,18000.0,,2,2012,4,,,wood,,,35.649845,56.455391,False
https://odintsovo.cian.ru/sale/suburban/259786862/,121400000,1135.0,,,3236.9999999999995,,3,,3,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/261421815/,199000000,1200.0,,,4500.0,,2,,6,,,,,,37.153889,55.713086,False
https://ivanteyevka.cian.ru/sale/suburban/259420670/,10550000,135.0,,,700.0,,2,,,,,,,,37.967592,56.01792,False
https://odintsovo.cian.ru/sale/suburban/257296690/,100590000,1152.2,,,3192.0,,2,,4,,,,,,37.159369,55.698041,False
https://odintsovo.cian.ru/sale/suburban/257037981/,15000000,850.0,,,7000.0,,2,,,,,,,,37.102514,55.729615,False
https://odintsovo.cian.ru/sale/suburban/257017235/,48900000,350.0,,,1680.0,,2,,,,,,,,37.183812,55.710778,False
https://odintsovo.cian.ru/sale/suburban/261428356/,116416000,450.0,,,1500.0,,2,,4,,,,,,37.146684,55.712655,False
https://odintsovo.cian.ru/sale/suburban/260451549/,1049990,559.0,,,1700.0,,3,,4,,,,,,36.951319,55.768279,False
https://www.cian.ru/sale/suburban/257088244/,1400000,500.0,,,1360.0,,4,,,,,,,,37.294161,55.560092,False
https://odintsovo.cian.ru/sale/suburban/243367010/,104999990,686.0,,,3800.0,,2,,3,,,,,,37.135941,55.681646,False
https://odintsovo.cian.ru/sale/suburban/240171867/,52000000,463.0,,,2200.0,,2,,4,,,,,,37.078143,55.675621,False
https://www.cian.ru/sale/flat/232917921/,21557177,88.6,40.0,21.8,0,20,23,2021,,,,monolith,,,37.74837627052794,55.72559130379266,True
https://www.cian.ru/sale/flat/258184886/,38968800,74.94,51.5,5.7,0,13,14,2023,,2,2,monolith,,,37.4977260582268,55.7161414441616,True
https://www.cian.ru/sale/flat/262449008/,17838184,41.4,27.0,5.6,0,31,33,2023,,1,1,monolith,,,37.5171219828031,55.760426775043,True
